conjugation,order,subject,subject_translation,preverb,preverb_translation,trans,verb_base,verb,verb_translation,type,subject_base,object,object_translation
"ni-wì-pòdawe","IND","IND1sg","I-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"ni-wì-shòshkwàdaye","IND","IND1sg","I-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"wì-pòdawe","IND","IND3sg","he/she-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"wì-shòshkwàdaye","IND","IND3sg","he/she-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"ni-pòdawe","IND","IND1sg","I-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"ni-shòshkwàdaye","IND","IND1sg","I-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"wì-pòdaweyàn","CONJ","CONJ1sg","as I-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"wì-shòshkwàdayeyàn","CONJ","CONJ1sg","as I-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"gi-wì-pòdawe","IND","IND2sg","you (sg)-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"gi-wì-shòshkwàdaye","IND","IND2sg","you (sg)-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"pòdawe","IND","IND3sg","he/she-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"shòshkwàdaye","IND","IND3sg","he/she-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"ni-wì-tàshkahise","IND","IND1sg","I-","wì-","want to","want to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"ni-màdjì-pòdawe","IND","IND1sg","I-","màdjì-","begin to","begin to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"ni-màdjì-shòshkwàdaye","IND","IND1sg","I-","màdjì-","begin to","begin to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"wì-tàshkahise","IND","IND3sg","he/she-","wì-","want to","want to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"màdjì-pòdawe","IND","IND3sg","he/she-","màdjì-","begin to","begin to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"màdjì-shòshkwàdaye","IND","IND3sg","he/she-","màdjì-","begin to","begin to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"wì-pòdawenidj","CONJ","CONJ3sg","as he/she-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"wì-shòshkwàdayenidj","CONJ","CONJ3sg","as he/she-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"pòdaweyàn","CONJ","CONJ1sg","as I-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"shòshkwàdayeyàn","CONJ","CONJ1sg","as I-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"gi-pòdawe","IND","IND2sg","you (sg)-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"gi-shòshkwàdaye","IND","IND2sg","you (sg)-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"wì-pòdaweyan","CONJ","CONJ2sg","as you (sg)-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"wì-shòshkwàdayeyan","CONJ","CONJ2sg","as you (sg)-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"ni-wì-àgimike","IND","IND1sg","I-","wì-","want to","want to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"ni-wì-ashkime","IND","IND1sg","I-","wì-","want to","want to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"ni-tàshkahise","IND","IND1sg","I-","none","no preverb","no preverbsplit wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"wì-tàshkahiseyàn","CONJ","CONJ1sg","as I-","wì-","want to","want to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"màdjì-pòdaweyàn","CONJ","CONJ1sg","as I-","màdjì-","begin to","begin to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"màdjì-shòshkwàdayeyàn","CONJ","CONJ1sg","as I-","màdjì-","begin to","begin to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"gi-wì-tàshkahise","IND","IND2sg","you (sg)-","wì-","want to","want to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"gi-màdjì-pòdawe","IND","IND2sg","you (sg)-","màdjì-","begin to","begin to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"gi-màdjì-shòshkwàdaye","IND","IND2sg","you (sg)-","màdjì-","begin to","begin to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"tàshkahise","IND","IND3sg","he/she-","none","no preverb","no preverbsplit wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"wì-àgimike","IND","IND3sg","he/she-","wì-","want to","want to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"wì-ashkime","IND","IND3sg","he/she-","wì-","want to","want to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"ni-màdjì-tàshkahise","IND","IND1sg","I-","màdjì-","begin to","begin to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"pòdawenidj","CONJ","CONJ3sg","as he/she-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"shòshkwàdayenidj","CONJ","CONJ3sg","as he/she-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"ni-kagwedj-pòdawe","IND","IND1sg","I-","kagwedj-","attempt to","attempt to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"ni-kagwedj-shòshkwàdaye","IND","IND1sg","I-","kagwedj-","attempt to","attempt to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"pòdaweyan","CONJ","CONJ2sg","as you (sg)-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"shòshkwàdayeyan","CONJ","CONJ2sg","as you (sg)-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"màdjì-tàshkahise","IND","IND3sg","he/she-","màdjì-","begin to","begin to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"kagwedj-pòdawe","IND","IND3sg","he/she-","kagwedj-","attempt to","attempt to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"kagwedj-shòshkwàdaye","IND","IND3sg","he/she-","kagwedj-","attempt to","attempt to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"wì-tàshkahisenidj","CONJ","CONJ3sg","as he/she-","wì-","want to","want to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"màdjì-pòdawenidj","CONJ","CONJ3sg","as he/she-","màdjì-","begin to","begin to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"màdjì-shòshkwàdayenidj","CONJ","CONJ3sg","as he/she-","màdjì-","begin to","begin to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"wì-àgimikeyàn","CONJ","CONJ1sg","as I-","wì-","want to","want to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"wì-ashkimeyàn","CONJ","CONJ1sg","as I-","wì-","want to","want to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"tàshkahiseyàn","CONJ","CONJ1sg","as I-","none","no preverb","no preverbsplit wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"ni-dàgimike","IND","IND1sg","I-","none","no preverb","no preverbmake (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"ni-dashkime","IND","IND1sg","I-","none","no preverb","no preverbknit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"gi-wì-àgimike","IND","IND2sg","you (sg)-","wì-","want to","want to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"gi-wì-ashkime","IND","IND2sg","you (sg)-","wì-","want to","want to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"
"gi-tàshkahise","IND","IND2sg","you (sg)-","none","no preverb","no preverbsplit wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"wì-tàshkahiseyan","CONJ","CONJ2sg","as you (sg)-","wì-","want to","want to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"màdjì-pòdaweyan","CONJ","CONJ2sg","as you (sg)-","màdjì-","begin to","begin to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"màdjì-shòshkwàdayeyan","CONJ","CONJ2sg","as you (sg)-","màdjì-","begin to","begin to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"àgimike","IND","IND3sg","he/she-","none","no preverb","no preverbmake (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"ashkime","IND","IND3sg","he/she-","none","no preverb","no preverbknit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"ni-màdjì-àgimike","IND","IND1sg","I-","màdjì-","begin to","begin to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"ni-màdjì-ashkime","IND","IND1sg","I-","màdjì-","begin to","begin to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"màdjì-tàshkahiseyàn","CONJ","CONJ1sg","as I-","màdjì-","begin to","begin to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"gi-màdjì-tàshkahise","IND","IND2sg","you (sg)-","màdjì-","begin to","begin to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"kagwedj-pòdaweyàn","CONJ","CONJ1sg","as I-","kagwedj-","attempt to","attempt to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"kagwedj-shòshkwàdayeyàn","CONJ","CONJ1sg","as I-","kagwedj-","attempt to","attempt to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"gi-kagwedj-pòdawe","IND","IND2sg","you (sg)-","kagwedj-","attempt to","attempt to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"gi-kagwedj-shòshkwàdaye","IND","IND2sg","you (sg)-","kagwedj-","attempt to","attempt to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"màdjì-àgimike","IND","IND3sg","he/she-","màdjì-","begin to","begin to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"màdjì-ashkime","IND","IND3sg","he/she-","màdjì-","begin to","begin to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"wì-àgimikenidj","CONJ","CONJ3sg","as he/she-","wì-","want to","want to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"wì-ashkimenidj","CONJ","CONJ3sg","as he/she-","wì-","want to","want to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"tàshkahisenidj","CONJ","CONJ3sg","as he/she-","none","no preverb","no preverbsplit wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"àgimikeyàn","CONJ","CONJ1sg","as I-","none","no preverb","no preverbmake (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"ashkimeyàn","CONJ","CONJ1sg","as I-","none","no preverb","no preverbknit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"ni-kagwedj-tàshkahise","IND","IND1sg","I-","kagwedj-","attempt to","attempt to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"gi-àgimike","IND","IND2sg","you (sg)-","none","no preverb","no preverbmake (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"gi-ashkime","IND","IND2sg","you (sg)-","none","no preverb","no preverbknit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"
"wì-àgimikeyan","CONJ","CONJ2sg","as you (sg)-","wì-","want to","want to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"wì-ashkimeyan","CONJ","CONJ2sg","as you (sg)-","wì-","want to","want to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"
"tàshkahiseyan","CONJ","CONJ2sg","as you (sg)-","none","no preverb","no preverbsplit wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"kagwedj-tàshkahise","IND","IND3sg","he/she-","kagwedj-","attempt to","attempt to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"màdjì-tàshkahisenidj","CONJ","CONJ3sg","as he/she-","màdjì-","begin to","begin to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"màdjì-àgimikeyàn","CONJ","CONJ1sg","as I-","màdjì-","begin to","begin to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"màdjì-ashkimeyàn","CONJ","CONJ1sg","as I-","màdjì-","begin to","begin to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"gi-màdjì-àgimike","IND","IND2sg","you (sg)-","màdjì-","begin to","begin to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"gi-màdjì-ashkime","IND","IND2sg","you (sg)-","màdjì-","begin to","begin to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"
"kagwedj-pòdawenidj","CONJ","CONJ3sg","as he/she-","kagwedj-","attempt to","attempt to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"kagwedj-shòshkwàdayenidj","CONJ","CONJ3sg","as he/she-","kagwedj-","attempt to","attempt to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"màdjì-tàshkahiseyan","CONJ","CONJ2sg","as you (sg)-","màdjì-","begin to","begin to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"kagwedj-pòdaweyan","CONJ","CONJ2sg","as you (sg)-","kagwedj-","attempt to","attempt to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"kagwedj-shòshkwàdayeyan","CONJ","CONJ2sg","as you (sg)-","kagwedj-","attempt to","attempt to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"àgimikenidj","CONJ","CONJ3sg","as he/she-","none","no preverb","no preverbmake (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"ashkimenidj","CONJ","CONJ3sg","as he/she-","none","no preverb","no preverbknit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"ni-kagwedj-àgimike","IND","IND1sg","I-","kagwedj-","attempt to","attempt to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"ni-kagwedj-ashkime","IND","IND1sg","I-","kagwedj-","attempt to","attempt to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"àgimikeyan","CONJ","CONJ2sg","as you (sg)-","none","no preverb","no preverbmake (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"ashkimeyan","CONJ","CONJ2sg","as you (sg)-","none","no preverb","no preverbknit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"
"kagwedj-tàshkahiseyàn","CONJ","CONJ1sg","as I-","kagwedj-","attempt to","attempt to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"gi-kagwedj-tàshkahise","IND","IND2sg","you (sg)-","kagwedj-","attempt to","attempt to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"kagwedj-àgimike","IND","IND3sg","he/she-","kagwedj-","attempt to","attempt to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"kagwedj-ashkime","IND","IND3sg","he/she-","kagwedj-","attempt to","attempt to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"màdjì-àgimikenidj","CONJ","CONJ3sg","as he/she-","màdjì-","begin to","begin to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"màdjì-ashkimenidj","CONJ","CONJ3sg","as he/she-","màdjì-","begin to","begin to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"màdjì-àgimikeyan","CONJ","CONJ2sg","as you (sg)-","màdjì-","begin to","begin to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"màdjì-ashkimeyan","CONJ","CONJ2sg","as you (sg)-","màdjì-","begin to","begin to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"
"kagwedj-tàshkahisenidj","CONJ","CONJ3sg","as he/she-","kagwedj-","attempt to","attempt to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","3sg","none","no object"
"kagwedj-àgimikeyàn","CONJ","CONJ1sg","as I-","kagwedj-","attempt to","attempt to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","1sg","none","no object"
"kagwedj-ashkimeyàn","CONJ","CONJ1sg","as I-","kagwedj-","attempt to","attempt to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","1sg","none","no object"
"gi-kagwedj-àgimike","IND","IND2sg","you (sg)-","kagwedj-","attempt to","attempt to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"gi-kagwedj-ashkime","IND","IND2sg","you (sg)-","kagwedj-","attempt to","attempt to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"
"kagwedj-tàshkahiseyan","CONJ","CONJ2sg","as you (sg)-","kagwedj-","attempt to","attempt to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","2sg","none","no object"
"kagwedj-àgimikenidj","CONJ","CONJ3sg","as he/she-","kagwedj-","attempt to","attempt to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","3sg","none","no object"
"kagwedj-ashkimenidj","CONJ","CONJ3sg","as he/she-","kagwedj-","attempt to","attempt to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","3sg","none","no object"
"kagwedj-àgimikeyan","CONJ","CONJ2sg","as you (sg)-","kagwedj-","attempt to","attempt to-make (snowshoe)","àgimike","àgimikeVAI1","make (snowshoe)","VAI1","2sg","none","no object"
"kagwedj-ashkimeyan","CONJ","CONJ2sg","as you (sg)-","kagwedj-","attempt to","attempt to-knit (snowshoe)","ashkime","ashkimeVAI1","knit (snowshoe)","VAI1","2sg","none","no object"